C1' ADE 0.87 1.24 0.29
C1' CYT 0.81 1.17 0.48
C1' GUA 0.86 1.3 0.32
C1' URA 0.89 1.27 0.58
C2 ADE 0.73 1.02 0.48
C2' ADE 0.49 0.71 0.27
C2' CYT 0.53 0.86 0.58
C2' GUA 0.58 0.86 0.09
C2' URA 0.51 0.78 -0.01
C3' ADE 1.12 1.45 0.43
C3' CYT 0.96 1.51 0.68
C3' GUA 1.04 1.39 0.37
C3' URA 1.27 1.63 0.55
C4' ADE 0.85 1.11 0.34
C4' CYT 0.75 1.02 0.27
C4' GUA 0.7 0.97 0.42
C4' URA 0.97 1.34 0.28
C5 CYT 0.84 1.15 0.44
C5 URA 0.88 1.2 0.44
C5' ADE 0.86 1.09 0.33
C5' CYT 0.59 0.81 0.6
C5' GUA 0.94 1.32 0.19
C5' URA 0.99 1.26 0.57
C6 CYT 0.67 0.94 0.58
C6 URA 0.8 1.14 0.62
C8 ADE 0.78 1.08 0.56
C8 GUA 1.03 1.43 0.57
H1 GUA 0.37 0.55 0.81
H1' ADE 0.17 0.33 0.1
H1' CYT 0.19 0.35 0.14
H1' GUA 0.19 0.36 0.41
H1' URA 0.16 0.26 0.35
H2 ADE 0.24 0.33 0.63
H2' ADE 0.13 0.19 0.34
H2' CYT 0.13 0.16 0.65
H2' GUA 0.14 0.18 0.44
H2' URA 0.15 0.19 0.35
H3 URA 0.57 0.88 0.62
H3' ADE 0.13 0.2 -0.03
H3' CYT 0.11 0.14 0.39
H3' GUA 0.13 0.18 0.49
H3' URA 0.11 0.16 0.15
H4' ADE 0.08 0.12 0.5
H4' CYT 0.11 0.15 0.46
H4' GUA 0.08 0.12 0.18
H4' URA 0.09 0.13 0.1
H5 CYT 0.14 0.19 0.71
H5 URA 0.17 0.22 0.68
H5' ADE 0.19 0.27 0.23
H5' CYT 0.17 0.26 0.25
H5' GUA 0.15 0.21 0.08
H5' URA 0.17 0.21 0.04
H5'' ADE 0.12 0.17 0.27
H5'' CYT 0.13 0.25 0.1
H5'' GUA 0.14 0.17 0.03
H5'' URA 0.12 0.16 0.15
H6 CYT 0.11 0.15 0.59
H6 URA 0.11 0.15 0.57
H8 ADE 0.15 0.2 0.57
H8 GUA 0.2 0.25 0.66
N1 GUA 1.34 1.7 0.38
N3 URA 1.46 1.82 0.58
